solution,mua,musp,n_int,f,phase,amplitude
1,0.46,0.5,1.4,0.0,0.0,0.038790934899548
2,0.46,0.5,1.4,0.02,-0.020907701470558,0.038435732408758
3,0.46,0.5,1.4,0.075,-0.074818553644013,0.034523994854392
4,0.46,0.5,1.4,0.15,-0.13199094259971,0.027114272460911
5,0.46,0.5,1.4,0.5,-0.23182209162409,0.012157870914155
6,0.46,0.5,1.4,1.0,-0.26470355073438,0.0068555699618207
7,0.46,0.5,1.4049999999999998,0.0,0.0,0.038790934899548
8,0.46,0.5,1.4049999999999998,0.02,-0.020907701470558,0.038435732408758
9,0.46,0.5,1.4049999999999998,0.075,-0.074818553644013,0.034523994854392
10,0.46,0.5,1.4049999999999998,0.15,-0.13199094259971,0.027114272460911
11,0.46,0.5,1.4049999999999998,0.5,-0.23182209162409,0.012157870914155
12,0.46,0.5,1.4049999999999998,1.0,-0.26470355073438,0.0068555699618207
13,0.46,0.5,1.4099999999999997,0.0,0.0,0.038790934899548
14,0.46,0.5,1.4099999999999997,0.02,-0.020907701470558,0.038435732408758
15,0.46,0.5,1.4099999999999997,0.075,-0.074818553644013,0.034523994854392
16,0.46,0.5,1.4099999999999997,0.15,-0.13199094259971,0.027114272460911
17,0.46,0.5,1.4099999999999997,0.5,-0.23182209162409,0.012157870914155
18,0.46,0.5,1.4099999999999997,1.0,-0.26470355073438,0.0068555699618207
19,0.46,0.5,1.4149999999999996,0.0,0.0,0.038790934899548
20,0.46,0.5,1.4149999999999996,0.02,-0.020907701470558,0.038435732408758
21,0.46,0.5,1.4149999999999996,0.075,-0.074818553644013,0.034523994854392
22,0.46,0.5,1.4149999999999996,0.15,-0.13199094259971,0.027114272460911
23,0.46,0.5,1.4149999999999996,0.5,-0.23182209162409,0.012157870914155
24,0.46,0.5,1.4149999999999996,1.0,-0.26470355073438,0.0068555699618207
25,0.46,0.5,1.4199999999999995,0.0,0.0,0.038790934899548
26,0.46,0.5,1.4199999999999995,0.02,-0.020907701470558,0.038435732408758
27,0.46,0.5,1.4199999999999995,0.075,-0.074818553644013,0.034523994854392
28,0.46,0.5,1.4199999999999995,0.15,-0.13199094259971,0.027114272460911
29,0.46,0.5,1.4199999999999995,0.5,-0.23182209162409,0.012157870914155
30,0.46,0.5,1.4199999999999995,1.0,-0.26470355073438,0.0068555699618207
31,0.46,0.5,1.4249999999999994,0.0,0.0,0.038790934899548
32,0.46,0.5,1.4249999999999994,0.02,-0.020907701470558,0.038435732408758
33,0.46,0.5,1.4249999999999994,0.075,-0.074818553644013,0.034523994854392
34,0.46,0.5,1.4249999999999994,0.15,-0.13199094259971,0.027114272460911
35,0.46,0.5,1.4249999999999994,0.5,-0.23182209162409,0.012157870914155
36,0.46,0.5,1.4249999999999994,1.0,-0.26470355073438,0.0068555699618207
37,0.46,0.5,1.4299999999999993,0.0,0.0,0.038790934899548
38,0.46,0.5,1.4299999999999993,0.02,-0.020907701470558,0.038435732408758
39,0.46,0.5,1.4299999999999993,0.075,-0.074818553644013,0.034523994854392
40,0.46,0.5,1.4299999999999993,0.15,-0.13199094259971,0.027114272460911
41,0.46,0.5,1.4299999999999993,0.5,-0.23182209162409,0.012157870914155
42,0.46,0.5,1.4299999999999993,1.0,-0.26470355073438,0.0068555699618207
43,0.46,0.5,1.4349999999999992,0.0,0.0,0.038790934899548
44,0.46,0.5,1.4349999999999992,0.02,-0.020907701470558,0.038435732408758
45,0.46,0.5,1.4349999999999992,0.075,-0.074818553644013,0.034523994854392
46,0.46,0.5,1.4349999999999992,0.15,-0.13199094259971,0.027114272460911
47,0.46,0.5,1.4349999999999992,0.5,-0.23182209162409,0.012157870914155
48,0.46,0.5,1.4349999999999992,1.0,-0.26470355073438,0.0068555699618207
49,0.46,0.5,1.439999999999999,0.0,0.0,0.038790934899548
50,0.46,0.5,1.439999999999999,0.02,-0.020907701470558,0.038435732408758
51,0.46,0.5,1.439999999999999,0.075,-0.074818553644013,0.034523994854392
52,0.46,0.5,1.439999999999999,0.15,-0.13199094259971,0.027114272460911
53,0.46,0.5,1.439999999999999,0.5,-0.23182209162409,0.012157870914155
54,0.46,0.5,1.439999999999999,1.0,-0.26470355073438,0.0068555699618207
55,0.46,0.5,1.444999999999999,0.0,0.0,0.038790934899548
56,0.46,0.5,1.444999999999999,0.02,-0.020907701470558,0.038435732408758
57,0.46,0.5,1.444999999999999,0.075,-0.074818553644013,0.034523994854392
58,0.46,0.5,1.444999999999999,0.15,-0.13199094259971,0.027114272460911
59,0.46,0.5,1.444999999999999,0.5,-0.23182209162409,0.012157870914155
60,0.46,0.5,1.444999999999999,1.0,-0.26470355073438,0.0068555699618207
61,0.46,1.0,1.4,0.0,0.0,0.079828329057821
62,0.46,1.0,1.4,0.02,-0.014082155758743,0.079366827793564
63,0.46,1.0,1.4,0.075,-0.051828430751691,0.073901401912831
64,0.46,1.0,1.4,0.15,-0.098038276118394,0.061267631227751
65,0.46,1.0,1.4,0.5,-0.21077766062639,0.025655634603894
66,0.46,1.0,1.4,1.0,-0.25411790777671,0.014111885237463
67,0.46,1.0,1.4049999999999998,0.0,0.0,0.079828329057821
68,0.46,1.0,1.4049999999999998,0.02,-0.014082155758743,0.079366827793564
69,0.46,1.0,1.4049999999999998,0.075,-0.051828430751691,0.073901401912831
70,0.46,1.0,1.4049999999999998,0.15,-0.098038276118394,0.061267631227751
71,0.46,1.0,1.4049999999999998,0.5,-0.21077766062639,0.025655634603894
72,0.46,1.0,1.4049999999999998,1.0,-0.25411790777671,0.014111885237463
73,0.46,1.0,1.4099999999999997,0.0,0.0,0.079828329057821
74,0.46,1.0,1.4099999999999997,0.02,-0.014082155758743,0.079366827793564
75,0.46,1.0,1.4099999999999997,0.075,-0.051828430751691,0.073901401912831
76,0.46,1.0,1.4099999999999997,0.15,-0.098038276118394,0.061267631227751
77,0.46,1.0,1.4099999999999997,0.5,-0.21077766062639,0.025655634603894
78,0.46,1.0,1.4099999999999997,1.0,-0.25411790777671,0.014111885237463
79,0.46,1.0,1.4149999999999996,0.0,0.0,0.079828329057821
80,0.46,1.0,1.4149999999999996,0.02,-0.014082155758743,0.079366827793564
81,0.46,1.0,1.4149999999999996,0.075,-0.051828430751691,0.073901401912831
82,0.46,1.0,1.4149999999999996,0.15,-0.098038276118394,0.061267631227751
83,0.46,1.0,1.4149999999999996,0.5,-0.21077766062639,0.025655634603894
84,0.46,1.0,1.4149999999999996,1.0,-0.25411790777671,0.014111885237463
85,0.46,1.0,1.4199999999999995,0.0,0.0,0.079828329057821
86,0.46,1.0,1.4199999999999995,0.02,-0.014082155758743,0.079366827793564
87,0.46,1.0,1.4199999999999995,0.075,-0.051828430751691,0.073901401912831
88,0.46,1.0,1.4199999999999995,0.15,-0.098038276118394,0.061267631227751
89,0.46,1.0,1.4199999999999995,0.5,-0.21077766062639,0.025655634603894
90,0.46,1.0,1.4199999999999995,1.0,-0.25411790777671,0.014111885237463
91,0.46,1.0,1.4249999999999994,0.0,0.0,0.079828329057821
92,0.46,1.0,1.4249999999999994,0.02,-0.014082155758743,0.079366827793564
93,0.46,1.0,1.4249999999999994,0.075,-0.051828430751691,0.073901401912831
94,0.46,1.0,1.4249999999999994,0.15,-0.098038276118394,0.061267631227751
95,0.46,1.0,1.4249999999999994,0.5,-0.21077766062639,0.025655634603894
